kod	nazev
74568	Dily  mech. pristroju k rozprasovani, tryskani ap.
7459	Ostatní neelektrické strojní zařízení, dily
74591	Kalandry apod. stroje s valci
74593	Valce, ostatni dily kalndru ap. stroju s valci
74595	Prodejni automaty vc. menicu minci
74597	Dily prodejnich automatu vc. menicu minci
746	Ložiska kuličková a válečková
7461	Kuličková ložiska
7462	Kuželíková ložiska (vč. sestav kuželíku)
7463	Soudečková ložiska
7464	Jehlová ložiska
7465	Ostatní válečková ložiska
7468	Ostatní kuličková, válečková ložiska
7469	Díly kuličkových, válečkových ložisek
74691	Kulicky, jehly, valecky
74699	Ostatni dily kulickovych, valeckovych lozisek
747	Kohouty, ventily aj. armatury pro potrubí, kotle ap.
7471	Redukční ventily
7472	Ventily pro oleohydraulické, pneumatické převody
7473	Zpětné ventily
7474	Bezpečnostní, pojistné ventily
7478	Kohouty, ventily apod. armatury, j.n.
7479	Díly ke kohoutům, ventilům ap. pro potrubí, kotle
748	Hřídele, kliky převodové, tělesa ložisková, spojky ap.
7481	Převodové hřídele (vč. vačkových, klikových), kliky
7482	Ložisková tělesa, pouzdra kluzných ložisek
74821	Loziskova telesa, s kulickovymi, valeckovymi lozisky
74822	Loziskova telesa bez kulickovych, valeckovych lozisek
7483	Článkové řetezy, díly, ze železa, oceli
74831	Valeckove retezy
74832	Ostatni clankove retezy
74839	Dily clankovych retezu
7484	Ozubená soukolí, převody, kuličkové šrouby apod.
7485	Setrvačníky, kladky (vč. kladkostrojů)
7486	Spojky, hřídelové spojky (vč. univerzálních spojek)
7489	Díly j.n., k převodovým hřídelím, klikám, skříním ap.
749	Díly a příslušenství strojů neelektrické jn.
7491	Formovací rámy slévárenské, formy trvalé, na kov ap.
74911	Formovaci ramy slevarenske
74912	Trvale formy
74913	Odlevaci modely
74914	Vstrikovaci, lisovaci formy na kovy, karbidy kovu
74915	Ostatni formy na kovy, karbidy kovu
74916	Formy na sklo
74917	Formy na nerostne materialy
74918	Vstrikovaci, lisovaci formy na kaucuk, plasty
74919	Ostanti formy na kaucuk, plasty
7492	Těsnění ap. spojovací materiál z plechu
7499	Strojní části bez elektrických prvků, j.n.
74991	Lodni kola, jejich lopatky
74999	Ostatni strojni casti bez elektrickych prvku
75	Kancelářské stroje a zař. k automat. zpracování dat
751	Stroje kancelářské
7511	Psací stroje jiné než pod záhlavím 726.5, 726.6 a 751.9; stroje pro zpracování textu
7512	Stroje kalkulační, účtovací, kontrolní pokladny apod.
75121	Elektronicke kalkulatory
75122	Ostatni kalkulacni stroje
75124	Registracni pokladny s kalkulacnim zarizenim
75128	Účtovací stroje,poštovní frankovací stroje,automaty vydávající jízdenky apod.
7519	Ostatní kancelářské stroje (rozmnožovací, adresovací apod.)
75191	Rozmnožovací přístroje
75193	Stroje na třídění,zakládání,otevírání pošty,zalepování obálek apod.
75194	Stroje kombinující min. 2 z funkcí tisku, kopírování , fax.přenosu, připojitelné k PC
75195	Ostatní kancelářské stroje, připojitelné k PC
75196	Ostatní tiskárny, kopírovací a faxové přístroje
75197	Díly a příslušenství ostatních strojů pro tisk
75199	Kancelářské stroje, j.n.
752	Zařízení k automat. zpracování dat, jednotky periferní
7522	Zařízení k autom.zprac.dat přenosná,<10kg,obs.min.CPU,klávesnici,displej
7523	Ostatní zařízení k autom.zprac.dat
7526	Vstupní nebo výstupní jednotky
7527	Paměťové jednotky
7528	Ostatní jednotky zařízení k autom.zprac.dat
7529	Zařízení ke zpracování dat, j.n.
759	Díly ap. ke strojům kancel. a automat. zpracování dat
7598	Díly, příslušenství vhodné současně pro 2 a více strojů podskupin 751.1, 751.2, 751.9 a skupiny 752
7599	Díly, příslušenství strojů podskupin 751.1, 751.2, 751.9 a skupiny 752
75991	Díly, příslušenství strojů podskupiny 751.1
75993	Díly, příslušenství strojů podskupiny 751.9, nikoli pro tisk
75995	Díly, příslušenství elektonických kalkulačních strojů podskupiny 751.2
75997	Díly, příslušenství strojů skupiny 752
76	Zařízení pro telekomunikace a pro záznam a reprodukci zvuku
761	Monitory a projektory; televizní přijímače, i kombinované
7613	Monitory CRT
7614	Ostatní monitory
7615	Projektory
7616	Televizní přijímače, i kombinované
762	Rozhlasové přijímače, i kombinované
7621	Rozhlasové přijímače s vnějším zdrojem energie
76211	Rozhlas. prist. s prist. zaznamu, reprod., bez zdroje
76212	Rozhlas. pris. bez pris. zaznamu, reprod., bez zdroje
7622	Rozhlasové přijímače bez vnějšího zdroje energie
76221	Rozhlas. prist. s prist. zaznamu, reprod., se zdrojem
76222	Rozhl. pr. bez pr. zaznamu, reprod. zvuku, se zdrojem
7628	Ostatní rozhlasové přijímače
76281	Ost. rozhlas. pristr. s pristr. zaznamu, reprodukce
76282	Ost. rozhlas. pristr. bez pristr. zaznamu, reprodukce
76289	Ost. rozhlas. pris. bez pris. zaznamu, reprod., hodin
763	Přístroje pro záznam, reprodukci zvuku, obrazu
7633	Přístroje pro záznam, reprodukci zvuku
76331	Přístroje pro záznam,reprodukci zvuku,spouštěné mincemi aj.platidly
76335	Gramofonová chassis
76336	Přístroje odpovídající na telefonáty (telef.záznamníky)
76339	Ostatní přístroje pro záznam, reprodukci zvuku
7638	Přístroje pro záznam, reprodukci obrazu
76381	Přístroje pro záznam, reprodukci obrazu, páskového typu
76384	Ostatní přístroje pro záznam, reprodukci obrazu
764	Zařízení telekomunikační, příslušenství přístojů pro záznam, reprodukci zvuku, obrazu
7641	Telefonní přístroje (vč.mobilních); ostatní přístroje pro vysílání, přijímání hlasu, dat
76411	Telefonní přístroje (vč.mobilních)
76412	Ostatní přístroje pro vysílání, přijímání hlasu, dat
76418	Díly,příslušenství telekomunikač.přístrojů a přístrojů pro záznam,reprodukci zvuku,obrazu
7642	Mikrofony a jejich stojany; reproduktory apod.
76421	Mikrofony, jejich stojany
76422	Reproduktory namontovane ve skrinich
76423	Reproduktory nenamontovane ve skrinich
76424	Sluchatka, kombinovane soupravy mikrofon/reproduktor
76425	Nizkofrekvencni elektricke zesilovace
76426	Elektricke zesilovace zvuku
7643	Přenosná zařízení pro radiotelefon,radiotelegraf apod
76431	Prenosova zarizeni
76432	Prenosova zarizeni s prijimaci aparaturou
7648	Telekomunikační zařízení, j.n.
76483	Zarizeni radarova, radiova navigacni ap. zarizeni
76484	Kamery televizní,digitální,videokamery
7649	Díly a přislušenství k telekomunikačním přístrojům
76492	Dily mikrofonu, reproduktoru, zesilovacu zvuku ap.
76493	Dily televiz., rozhlas. pris., zar. telekom., prenos.
76499	Dily pristroju pro zaznam, reprodukci zvuku
77	Elektrická zařízení, přístroje a spotřebiče, j.n., a jejich elektrické části (včetně neelektrických příbuzných spotřebičů, j.n., pro domácnost)
771	Stroje elektrické (ne točivé) a jejich díly
7711	Transformátory, elektrické
77111	Transformatory s kapalnym dielektrikem
77119	Ostatni elektricke transformatory
7712	Ostatní elektrické stroje, díly elektrických strojů
77121	Staticke menice
77123	Predradniky pro vybojky, elektronky
77125	Ostatni induktory
77129	Dily elektrickych stroju
772	Přístr. elek. ke spínání ap. obvodů elek., odpory aj.
7722	Tištěné obvody
7723	Elektrické odpory, jiné než topné odporníky
77231	Pevne uhlikove odpory, hmotove, vrstvene
77232	Ostatni pevne odpory
77233	Dratove odpory o promenne hodnote
77235	Ostatni odpory o promenne hodnote
77238	Dily elektrickych odporu
7724	Elektrické přístroje pro napětí nad 1000 V
77241	Pojistky
77242	Automaticke jistice obvodu pro napeti do 72,5 kV
77243	Ostatni automaticke jistice obvodu
77244	Izolacni prepinace, prepinaci kontakty
77245	Bleskojistky, omezovace napeti, prepetove vypinace
77249	Ostatni elektricke pristroje spinaci aj. nad 1000 V
7725	Elektrické přístroje pro napětí menší než 1000 V
77251	Pojistky
77252	Automaticke jistice obvodu
77253	Ostatni pristroje k ochrane elektrickych obvodu
77254	Rele
77255	Ostatni spinace, vypinace
77256	Konektory pro opt.vlákna,jejich svazky a kabely z opt.vláken
77257	Objimky zarovek
77258	Zastrcky
77259	Ostatni elektricke pristroje spinaci aj. do 1000 V
7726	Pulty, panely k řízení nebo rozvodu elektřiny
77261	Pulty, panely k rizeni, rozvodu elektriny do 1000 V
77262	Pulty, panely k rizeni, rozvodu elektriny nad 1000 V
7728	Díly vhodné pro skupiny 772.4, 772.5 a 772.6
77281	Pulty, panely, stoly aj. pro rizeni, rozvod elektriny
77282	Ostatni dily
773	Prostředky k rozvodu elektrické energie jn.
7731	Izolované dráty, kabely a ost. elektrické vodiče
77311	Vinuty drat
77312	Koaxialni kabel, ostatni koaxialni vodice
77313	Sestavy zapalovani a ost. instalace pro vozidla, lode
77316	Ostatní el. vodiče, pro napětí <= 1000 V
77317	Ostatní el. vodiče, pro napětí > 1000 V
77318	Kabely z optickych vlaken
7732	Elektroizolační prostředky
77322	Elektricke izolatory sklenene
77323	Elektricke izolatory keramicke
77324	Elektricke izolatory z jineho materialu
77326	Izolacni pruchodky pro elektricke stroje z keramiky
77328	Izolacni pruchodky pro elektricke stroje z plastu
77329	Izolacni pruchodky pro el. stroje z jinych materialu
774	Přístroje elektrodiagnostické pro účely medicinální
7741	Elektrodiagnostické přístroje (ne radiologické)
77411	Elektrokardiografy
77412	Ostatni elektrodiagnosticke pristroje
77413	Pristroje s ultrafialovymi, infracervenymi paprsky
7742	Přístroje na bázi rtg aj. záření, příslušenství, díly
77421	Pristroje na bazi rentgenoveho zareni
77422	Pristroje na bazi zareni alfa, beta, gama
77423	Rentgenky
77429	Generatory, panely, pulty aj., dily, prislusenstvi
775	Zařízení elektrická a mechanická pro domácnost jn.
7751	Domácí pračky
77511	Domaci pracky, do 10 kg sucheho pradla
77512	Susicky pradla, do 10 kg sucheho pradla
7752	Domácí chladničky a mrazničky
77521	Domaci chladnicky, pr. s hlubokomrazicim prostorem
77522	Domaci mraznicky
7753	Domácí myčky nádobí
7754	Strojky holící, na stříhání vlasů s elektr. motorkem
77541	Holici strojky s elektrickym motorkem
77542	Strojky na strihani vlasu s elektrickym motorkem
77549	Dily holicich strojku, strojku na strihani vlasu
7755	Vysavače
77551	Vysavače s vestavěným el. motorem
77556	Vysavače bez vestavěného el. motoru
77557	Díly vysavačů
7757	Elektromechanické domácí spotřebiče s elektr. motorem
77572	Mlynky na potraviny ap. strojky, domaci, elektromech.
77573	Ostatni elektromechanicke domaci spotrebice s motorem
77579	Dily domacich mycek nadobi
7758	Elektrotepelné spotřebiče
77581	Elektricke ohrivace vody prutokove, zasobnikove aj.
77582	Elektricke pristroje k vytapeni prostor, ohrevu pudy
77583	Elektricke pomucky kadernicke, rucni vysousece
77584	Elektricke zehlicky
77585	Elektricke podusky, decky
77586	Sporaky, varice, varne plotynky, krouzky, grily ap.
77587	Elektrotepelne domaci spotrebice, j.n.
77588	Topna odporova telesa (ne z uhliku)
77589	Dily elektrotepelnych spotrebicu j.n.
776	Elektronky, rentgenky, diody, tranzistory ap., díly
7761	Televizní obrazovky katodové
77611	Televizni obrazovky katodove barevne
77612	Tel. obrazovky katodove cernobile, ost. jednobarevne
7762	Ostatní elektronky (vč. do televizních kamer)
77621	Elektronky do televiznich kamer, konvertory apod.
77623	Ostatni obrazove elektronky
77625	Mikrovlnne elektronky
77627	Ostatni lampy, elektronky
77629	Dily elektronek, lamp pro televizni obrazovky, kamery
7763	Diody, tranzistory apod. polovodičové prvky
77631	Diody, nikoli fotosenzitivni ani svetelne diody
77632	Tranzistory se ztratovym vykonem mene nez 1 V
77633	Tranzistory se ztratovym vykonem nad 1 W
77635	Tyristory, diaky, triaky
77637	Fotosenzitivni polovodicove prvky, svetelne diody
77639	Ostatni polovodicove prvky
7764	Elektronické integrované obvody
77642	Procesory a řídicí jednotky
77644	Paměti
77646	Zesilovače
77649	Ostatní elektronické integrované obvody
7768	Piezoelektrické krystaly
77681	Piezoelektricke krystaly, zabudovane
77688	Dily diod, tranzistoru ap. prvku, piezoel. krystalu
77689	Dily elektronickych integr. obvodu, mikrosoustav
778	Přístroje elektrické jn. (baterie, žárovky ap.)
7781	Články (baterie) a elektrické akumulátory, vč. dilů
77811	Primarni clanky, primarni baterie
77812	Elektricke akumulatory (akumulatorove baterie)
77813	Odpad a zbytky primárních článků, baterií, akumulátorů; el.součástky přístrojů, j.n.
77817	Dily primarnich clanku, primarnich baterii
77819	Dily elektrickych akumulatoru
7782	Žárovky s vláknem nebo výbojky; obloukové lampy
77821	Zarovky s vlaknem
77822	Vybojky
77823	Reflektorove zarovkove jednotky
77824	Ultrafialove lampy, infralampy, obloukove lampy
77829	Dily obloukovych lamp, vybojek, zarovek s vlaknem
7783	Elektrická zařízení ke spouštění a zážehu motoru
77831	Elektricka zazehova, spousteci zarizeni motoru
77833	Dily zarizeni el. zazehovych, spoustecich pro motory
77834	Elektricka osvetlovaci aj. zarizeni aut, motocyklu
77835	Dily zar. el. osvetlovaciho, signalizacniho, steracu
7784	Elektromechanické ruční nářadí s elektrickým motorem
77841	Vrtaky vsech druhu
77843	Pily
77845	Ostatni nastroje
7786	Elektrické kondenzátory
77861	Kondenzatory obvodu 50/60 Hz s vykonem do 0,5 kVAr
77862	Tantalove kondenzatory o stale kapacite
77863	Hlinikove elektrotyl. kondezatory o stale kapacite
77864	Keramicke dielektricke kondenzatory, jednovrstve
77865	Keramicke dielektricke kondenzatory, vicevrstve
77866	Papirove, plastove dielektricke kondenzatory
77867	Ostatni kondenzatory o stale kapacite
77868	Kondenzatory o variabilni, nastavitelne kapacite
77869	Dily elektrickych kondenzatoru
7787	Elektrické stroje, přístroje s individuální funkcí
77871	Urychlovace castic
77878	Ost. elektricke stroje, pristroje s individ. funkci
77879	Dily elektrickych stroju, pristroju s individ. funkci
7788	Elektrické stroje a zařízení, j.n.
77881	Elektromagnety, permanentni magnety, polotovary apod.
77882	Elektricke signalizacni aj. zarizeni pro silnice ap.
77883	Dily el. zarizeni pro zeleznice, silnice, letiste ap.
77884	Elektricka signalizacni zvukova ap. zarizeni jina
77885	Dily jineho el. signal. zariz. zvukoveho, vizualniho
77886	Uhlikove elektrody, uhliky aj. vyrobky z uhliku
78	Silniční vozidla (včetně vznášedel)
781	Automobily osobní aj. vozidla pro dopravu osob
7811	Vozidla speciální pro jízdu na sněhu, golfové vozíky
7812	Motorová vozidla k dopravě osob
782	Vozidla motorová k dopravě zboží a pro účely speciální
7821	Motorová vozidla k dopravě zboží
78211	Dampry pro pouziti v terenu
78219	Motorova vozidla k doprave zbozi, j.n.
7822	Speciální jednoúčelová vozidla
78221	Pojizdne jeraby
78223	Pojizdne vrtne veze
78225	Pozarnicka auta
78227	Vozy s michackou betonu
78229	Ostatni specialni ucelova vozidla
783	Vozidla motor. silniční (k dopr. veřejné, traktory ap.)
7831	Osobní motorová vozidla pro veřejnou dopravu
78311	Os. vozidla ver. dopravy s motory s vnitr. spalovanim
78319	Osobni vozidla verejne dopravy ostatni
7832	Silniční traktory, návěsy
784	Díly a příslušenství vozidel motorových
7841	Podvozky s namontovanými motory pro motorová vozidla
7842	Karoserie (vč. kabin) motorových vozidel
78421	Karoserie osobnich automobilu
78425	Karoserie pro traktory, vozidla mot. silnicni, spec.
7843	Ostatní díly a příslušenství motorových vozidel
78431	Narazniky, jejich dily
78432	Ostatni dily, prislusenstvi karoserii
78433	Brzdy, servobrzdy, jejich dily
78434	Prevodove skrine
78435	Hnané nápravy s diferenciálem,případně s dalšími převodovými prvky,nehnané nápravy;díly
78439	Ostatni dily, prislusenstvi
785	Motocykly (i mopedy), kola jízdní, vozíky invalidní
7851	Motocykly (vč. mopedů) a kola s pomocným motorem
78511	Motocykly, kola s vratnym pist. motorem , do 50 cm3
78513	Motocykly, kola s vratnym pist. motorem, 50-250 cm3
78515	Motocykly, kola s vratnym pist. motorem, 250-500 cm3
78516	Motocykly, kola s vratnym pist. motorem, 500-800 cm3
78517	Motocykly, kola s vratnym pist. motorem, nad 800 cm3
78519	Motocykly, kola s motorem ostatni
7852	Jízdní kola a ost. kola, bez motoru
7853	Vozíky pro invalidy, případně motorizované
78531	Voziky pro invalidy, pr. motorizovane aj. pohanene
78535	Dily, prislusenstvi motocyklu (vc. mopedu)
78536	Dily, prislusenstvi voziku pro invalidy
78537	Dily a prislusenstvi motocyklu, kol, invalid. voziku
786	Přívěsy, návěsy; vozidla ost. bez pohonu mechanického
7861	Přívěsy, návěsy karavanového typu, k ubytování ap.
7862	Přívěsy a návěsy pro přepravu zboží
78621	Samonakladaci ap. privesy aj. pro zemedelske ucely
78622	Privesy, navesy cisternovych vozu
78629	Ostatni privesy, navesy pro prepravu zbozi
7863	Kontejnery určené pro speciální způsob dopravy
7868	Ostatní vozidla bez mechanického pohonu, díly
78683	Privesy, navesy, j.n.
78685	Vozidla bez mechanickeho pohonu, j.n.
78689	Dily navesu, privesu, vozidel bez mechanickeho pohonu
79	Ostatní dopravní a přepravní prostředky
791	Vozidla železniční a zařízení související
7911	Železniční lokomotivy
79111	Zel. lokomotivy pohanene z vnejsiho zdroje elektriny
79115	Zelez. lokomotivy pohanene z elektrickych akumulatoru
7912	Ostatní železniční lokomotivy; tendry
79121	Dieselelektricke lokomotivy
79129	Zeleznicni lokomotivy, j.n., tendry
7916	Železniční a tramvajové osobní vozy s vlast. pohonem
7917	Železniční, tramvajové osobní vozy, bez pohonu
7918	Železniční, tramvajové nákladní, údržbářské vozy
79181	Zeleznicni, tramvajove servis. aj. vozy pr. s pohonem
79182	Zeleznicni, tramvajove nakladni vozy ap., bez pohonu
7919	Přípravky a prísluš.pro železniční a tramvajové tratě
79191	Prislusenstvi ap. pro zeleznicni, tramvajove trate
79199	Dily zeleznicnich aj. lokomotiv, vozoveho parku
792	Letadla a zařízení související, lodě kosmické, rakety
7921	Vrtulníky
79211	Vrtulniky o hmotnosti bez zateze do 2000 kg
79215	Vrtulniky o hmotnosti bez zateze nad 2000 kg
7922	Letouny, letadla s mechanickým pohonem do 2000 kg
7923	Letouny, letadla s mechanickým pohonem, 2000-15000 kg
7924	Letouny, letadla s mechanickym pohonem nad 15000 kg
7925	Kosmické lodě (vč. družic), vynášecí rakety
7928	Letadla, j.n. (vč. balonů, kluzáků ap.), zařízení
79283	Zařízení pro vynášení letadel, palubní záchytná zařízení apod.; pozemní trenažéry; díly
79284	Balony, vzducholodě; kluzáky, rogala apod.
7929	Díly j.n. skupiny 792
79291	Vrtule, rotory, jejich dily
79293	Podvozky, jejich dily
79295	Ostatni dily letounu, vrtulniku
79297	Ostatni dily letadel, kosmickych lodi, raket
793	Lodě, čluny (i vznášedla), konstrukce plovoucí
7931	Jachty, ost. plavidla pro rekreaci, sport, kanoe ap.
79311	Nafukovaci cluny (vc. veslic, kanoi)
79312	Plachetni cluny, nenafukovaci, s motorem i bez
79319	Nenafukovaci veslice, kanoe, plavidla pro sport ap.
7932	Lodě, čluny a ostatní plavidla
79322	Tankery vsech druhu
79324	Rybarske cluny, plovouci tovarny na rybi produkty
79326	Chladirenske lode (ne tankery)
79327	Ostatni plavidla pro prepravu zbozi
79328	Turisticke lode, vyletni cluny ap. plavidla
79329	Ostatni plavidla (vc. lodi valecnych, zachrannych)
7933	Plavidla, ostatní plovoucí konstrukce k uvolňování
7935	Majákové lodě, požárnické čluny, bagry, apod.
79351	Bagry
79355	Plovouci, ponorne, vyrobni plosiny
79359	Majakove lode, pozarnicke cluny, plovouci jeraby ap.
7937	Remorkery, tlačné čluny
7939	Ostatní plovoucí konstrukce
79391	Pramy, nafukovaci
79399	Plovouci konstrukce, j.n.
8	Průmyslové spotřební zboží
81	Prefabrikované budovy; výrobky zdravotnické, instalační, vytápěcí a osvětlovací techniky, j.n.
811	Budovy prefabrikované
812	Výrobky techniky zdravotnické, instalační, vytápěcí
8121	Kotle a tělesa pro ústřední topení, ohřívače vody
81211	Telesa ustredniho topeni, jejich dily
81215	Ohrivace vzduchu, rozvadece horkeho vzduchu, dily
81217	Kotle ustredniho topeni
81219	Dily kotlu ustredniho topeni
8122	Keramické výlevky, umyvadla, vany, bidety apod.
81221	Vylevky, umyvadla, vany, bidety ap. vyr. z porcelanu
81229	Vylevky, umyvadla, vany ap. vyr. jine nez z porcelanu
813	Výrobky techniky osvětlovací jn.
8131	Lampy, svítidla (vč. světlometů, reflektorů), j.n.
81311	Lustry, ostatni stropni, stenova svitidla
81312	Prenosne elektricke lampy s vlastnim zdrojem energie
81313	Elektricke stolni, pultove, nocni, stojaci lampy
81315	Prislusenstvi elektrickych lamp, svitidel, j.n.
81317	Prislusenstvi neelektrickych lamp, svitidel
8132	Osvětlené značky, osvětlené jmenovky apod.
8138	Díly přenosných elektrických lamp s vlastním zdrojem
8139	Díly, j.n.,pro výrobky skupiny 813.1 a 813.2
81391	Dily j.n., lamp, svitidel, osvetlenych znacek ze skla
81392	Dily j.n. lamp, svitidel, osvetlenych znacek z plastu
81399	Dily j.n., lamp, svitidel, osvetlenych znacek ostatni
82	Nábytek a jeho díly; žíněnky, matrace, matracová výztuž, polštáře a podobný čalouněný nábytek
821	Nábytek a díly, žíněnky, matrace aj. nábytek čalouněný
8211	Sedadla, případně přestavitelná na lůžka, vč. dílů
82111	Sedadla bezne uzivana v letadlech
82112	Sedadla bezne uzivana v motorovych vozidlech
82113	Kresla z trtiny, vrboveho prouti, bambusu aj.
82114	Otaceci zidle s nastavitelnou vyskou sedadla
82115	Kresla ne zahradni, kempinkova, premenitelna na luzka
82116	Kresla, j.n., s drevenou konstrukci
82117	Kresla, j.n., s kovovou konstrukci
82118	Ostatni sedadla
82119	Dily sedadel, pr. prestavitelnych na luzka
8212	Matracové výztuže, díly lůžek, přikrývky apod.
82121	Matracove vyztuze
82123	Matrace z mechove pryze, vylehcenych plastu
82125	Matrace z jineho materialu
82127	Spaci pytle
82129	Ostatni druhy luzek
8213	Nábytek, j.n., kovový
82131	Nabytek, j.n., kovovy, uzivany v kancelarich
82139	Nabytek, j.n., kovovy, ostatni
8215	Nábytek, j.n., dřevěný
82151	Nabytek, j.n., dreveny, uzivany v kancelarich
82153	Nabytek, j.n., dreveny, uzivany v kuchyni
82155	Nabytek, j.n., dreveny, uzivany v loznici
82159	Nabytek, j.n., dreveny, ostatni
8217	Nábytek, j.n., z ostatního materiálu
82171	Nabytek z plastu
82179	Nabytek z jinych materialu (vc. bambusu)
8218	Díly nábytku kovového, dřevěného, z ost. materiálu
83	Cestovní galanterie, kabelky apodobné výrobky
831	Potřeby cestovní (kufry, aktovky, kabelky, vaky aj.)
8311	Kabely, případně se závěsným ramenem, i bez držadel
83111	Kabely s povrchem z kuze, imitace kuze, lakovane kuze
83112	Kabely s povrchem z plastu, textilniho materialu
83119	Kabely ostatni
8312	Kufry, kufříky, aktovky, diplomatky, necesery apod.
83121	Kufry ap. s povrchem z kuze, imitace, lakovane kuze
83122	Kufry ap. s povrchem z plastu, textilniho materialu
83129	Kufry, kufriky, aktovky, diplomatky ap. ostatni
8313	Cestovní soupravy pro osobni hygienu, šití, čištění
8319	Pouzdra,cestovní vaky,nakupní kabely aj. z kůže apod.
83191	Predmety, jake se obvykle nosi v kapse, kabelce
83199	Ostatni pouzdra, vaky, batohy, kabely, kazety ap.
84	Oděvní výrobky a doplňky
841	Oděvy a prádlo pánské, chlapecké (ne pletené, háčk.)
8411	Pánské,chlapecké svrchníky,pláštěnky, větrovky apod.
84111	Panske, chlap. svrchniky, plaste ap. z vlny, j. srsti
84112	Panske, chl. svrchniky, plaste ap. z jineho tex. mat.
84119	Ostatni panske, chlapecke bundy, vetrovky ap. vyrobky
8412	Pánské, chlapecké obleky, komplety
84121	Panske, chlapecke obleky z vlny, jemne zvireci srsti
84122	Panske, chlapecke obleky z jineho textil. materialu
84123	Panske, chlapecke komplety
8413	Pánská, chlapecká saka, blejzry
8414	Pánské, chlapecké kalhoty, kombinézy, šortky ap.
8415	Pánské, chlapecké košile
84151	Panske, chlapecke kosile z bavlny
84159	Panske, chlapecke kosile z jineho textil. materialu
8416	Pánská, chlapec. trička, nátělníky, slipy, župany ap.
84161	Panske, chlapecke spodky, slipy
84162	Panske, chlapecke nocni kosile, pyzama
84169	Panske, chlapecke ostatni zbozi
842	Oděvy a prádlo dámské, dívčí (ne pletené, háčkované)
8421	Dámské, dívčí svrchní pláště, bundy, větrovky apod.
84211	Damske, divci plaste svrchni, do deste, plastenky ap.
84219	Damske, divci ostatni bundy, vetrovky ap.
8422	Dámské, dívčí kostýmy, komplety
84221	Damske, divci kostymy
84222	Damske, divci komplety
8423	Dámská a dívčí saka
8424	Dámské a dívčí šaty
8425	Dámské a dívčí sukně, kalhotové sukně
8426	Dámské a dívčí kalhoty, kombinézy, šortky apod.
8427	Dámské, dívčí blůzy, košile, košilové blůzy
8428	Dámské a dívčí spodní a noční prádlo, župany, apod.
84281	Damske, divci kombine, spodnicky
84282	Damske, divci nocni kosile, pyzama
84289	Damske, divci ostatni zbozi
843	Oděvy a prádlo pánské, chlapecké pletené, háčkované
8431	Pánské,chlapec.svrchníky,pláště,bundy,apod. pletené j
8432	Pánské obleky,saka,kalhoty,šortky apod. pletené
84321	Panske, chlapecke obleky pletene, hackovane
84322	Panske, chlapecke komplety pletene, hackovane
84323	Panske, chlapecke saka, blejzry pletene, hackovane
84324	Panske, chlapecke kalhoty, kombinezy, sortky pletene
8437	Pánské a chlapecké košile pletené
84371	Panske, chlapecke kosile z bavlny, pletene
84379	Panske, chlapecke kosile z jineho tex. mat., pletene
8438	Pánské a chlapecké prádlo (bez košil), župany apod.
84381	Panske, chlapecke spodky, slipy, pletene, hackovane
84382	Panske, chlapecke nocni kosile, pyzama, pletene
84389	Panske, chlapecke ostatni zbozi, pletene, hackovane
844	Oděvy a prádlo dámské, dívčí pletené, háčkované
8441	Dámské, dívčí svrchní pláště, větrovky apod.,pletené
8442	Dámské,dívčí kabáty,šaty,sukně,kalhoty apod., pletené
84421	Damske, divci kostymy, pletene, hackovane
84422	Damske, divci komplety, pletene, hackovane
84423	Damske, divci kabatky, pletene, hackovane
84424	Damske, divci saty, pletene, hackovane
84425	Damske, divci sukne, kalhotove sukne, pletene, hack.
84426	Damske, divci kalhoty, kombinezy, sortky ap. pletene
8447	Dámské, dívčí blůzy, košile, košilové blůzy, pletené
8448	Dámská,dívčí kombiné,kalhotky,pyžama apod., pletené
84481	Damske, divci kombine, spodnicky, pletene, hackovane
84482	Damske, divci kalhotky, pletene, hackovane
84483	Damske, divci nocni kosile, pyzama pletene, hackovane
84489	Damske, divci ostatni zbozi, pletene, hackovane
845	Součásti oděvní z materiálu textilního i pletené ap.
8451	Dětské oděvy, oděvní doplňky
84511	Detske odevy, odevni doplnky, ne pletene, hackovane
84512	Detske odevy, odevni doplnky, pletene, hackovane
8452	Oděvy zhotovené z různých materiálů,jiných než textil
84521	Odevy z plste, netkaneho textilu, pr. natirane ap.
84522	Panske, chlap. odevy z text. napoustenych, pogum. ap.
84523	Damske, divci odevy z tex. napoustenych, pogumovanych
84524	Odevy z tex. napoustenych, pogumovanych ap. pletene
8453	Svetry, pulovry, vesty apod., pletené, háčkované
8454	Trička tvaru T,trička a ost.nátělníky, pletené apod.
8455	Podprsenky, podvazkové pásy, korzety, šle apod.
84551	Podprsenky
84552	Podvazkove pasy, korzety, sle, podvazky ap. vyrobky
8456	Plavky
84561	Plavky panske, chlapecke, ne pletene, hackovane
84562	Plavky panske, chlapecke, pletene, hackovane
84563	Plavky damske, divci, ne pletene, hackovane
84564	Plavky damske, divci, pletene, hackovane
8458	Ostatní oděvy, ne pletené, háčkované
84581	Lyzarske obleky, ne pletene, hackovane
84587	Odevni soucasti, panske, chlapecke, j.n., ne pletene
84589	Odevni soucasti, damske, divci, j.n., ne pletene
8459	Ostatní oděvy pletené nebo háčkované
84591	Sportovni odevy, pletene, hackovane
84592	Lyzarske obleky, pletene, hackovane
84599	Odevy, pletene, hackovane, j.n.
